"duration","src_bytes","hot","num_root","num_file_creations","is_guest_login","serror_rate","srv_serror_rate","rerror_rate","dst_host_srv_count","dst_host_same_srv_rate","dst_host_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","connection_type"
"2638919",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1925348",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"620440",0,0,0,0,0,0,1,1,0,8,0.03,1,0,0,"bad"
"3902566",0,0,0,0,0,0,1,1,0,23,0.09,1,0,0,"bad"
"4233921",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3362173",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1439069",0,1178,0,0,0,0,0,0,0,165,0.83,0,0,0,"good"
"1545808",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1924529",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3448588",2592,146,0,0,0,0,0,0,0,1,0,0,0,0,"good"
"2325810",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4564878",0,0,0,0,0,0,0,0,1,2,0.01,0,1,1,"bad"
"4669404",0,0,0,0,0,0,0,0,1,2,0.01,0,1,1,"bad"
"3223044",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"346732",1,943,0,0,0,0,0,0,0,81,0.65,0,0,0,"good"
"3748048",0,0,0,0,0,0,1,1,0,4,0.02,1,0,0,"bad"
"2210843",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2436718",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4474348",0,145,0,0,0,0,0,0,0,1,0,0,0,0,"good"
"4223784",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1980608",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2580049",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3423537",0,9,0,0,0,0,0,0,0,4,0.02,0,0,0,"good"
"1479074",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2983861",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3557826",0,0,0,0,0,0,1,1,0,9,0.04,1,0,0,"bad"
"2135675",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4299589",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3048762",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"111694",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2289668",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2256020",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2911870",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1588352",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"125824",0,296,0,0,0,0,0,0,0,219,1,0,0,0,"good"
"3169214",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"770075",0,149,0,0,0,0,0,0,0,69,1,0,0,0,"good"
"1571251",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1847781",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3176088",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1516597",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2258827",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3797971",0,0,0,0,0,0,1,1,0,8,0.03,1,0,0,"bad"
"3762649",0,0,0,0,0,0,1,1,0,6,0.02,1,0,0,"bad"
"3244360",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3130447",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2842947",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3196621",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2838720",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"86974",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4784274",2550,147,0,0,0,0,0,0,0,1,0,0,0,0,"good"
"3352117",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"428893",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4666795",0,0,0,0,0,0,0,0,1,3,0.01,0,1,1,"bad"
"489765",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"942082",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1711774",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1840866",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2414610",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2441757",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4582523",0,0,0,0,0,0,0,0,1,20,0.08,0,1,1,"bad"
"3809239",0,0,0,0,0,0,1,1,0,25,0.1,1,0,0,"bad"
"3225777",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"115535",0,43,0,0,0,0,0,0,0,252,0.99,0,0,0,"good"
"3313993",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1528990",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1837208",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3843",0,210,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"2425388",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3810641",0,0,0,0,0,0,1,1,0,5,0.02,1,0,0,"bad"
"3667078",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3386734",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"943010",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3177363",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"88704",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2960755",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4049514",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4748219",0,0,0,0,0,0,0,0,1,12,0.05,0,1,1,"bad"
"2008547",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4712650",0,0,0,0,0,0,0,0,1,15,0.06,0,1,1,"bad"
"16989",0,286,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"178531",0,236,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"4135843",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2330459",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"438836",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2317417",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4621742",0,0,0,0,0,0,0,0,1,9,0.04,0,1,1,"bad"
"2972875",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1454897",0,786,0,0,0,0,0,0,0,149,0.47,0,0,0,"good"
"2749712",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2786078",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4845274",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1303242",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3650655",0,0,0,0,0,0,1,1,0,9,0.04,1,0,0,"bad"
"1074982",0,0,0,0,0,0,1,1,0,6,0.02,1,0,0,"bad"
"1596625",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4424154",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4245852",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3158594",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"390766",0,293,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"1585083",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1928970",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3631356",0,0,0,0,0,0,1,1,0,11,0.04,1,0,0,"bad"
"1252072",0,0,0,0,0,0,1,1,0,12,0.05,1,0,0,"bad"
"4307305",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3527140",0,0,0,0,0,0,1,1,0,9,0.04,1,0,0,"bad"
"3408192",1,1176,0,0,0,0,0,0,0,150,0.69,0,0,0,"good"
"2018893",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4418371",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"541022",0,0,0,0,0,0,1,1,0,9,0.04,1,0,0,"bad"
"2151357",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3443335",0,46,0,0,0,0,0,0,0,124,0.7,0,0,0,"good"
"3878301",0,0,0,0,0,0,1,1,0,18,0.07,1,0,0,"bad"
"797055",0,225,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"4334490",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"37482",0,185,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"1960622",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1753078",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"65475",0,261,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"1676826",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2157406",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2584339",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1657579",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"743948",0,302,0,0,0,0,0,0,0,252,0.99,0,0,0,"good"
"2961548",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"693492",0,0,0,0,0,0,1,1,0,5,0.02,1,0,0,"bad"
"314319",4,13880,0,0,0,0,0,0,0,137,0.45,0,0,0,"good"
"403500",0,0,0,0,0,0,0,0,1,255,1,0,1,0.97,"good"
"1193601",0,0,0,0,0,0,1,1,0,20,0.08,1,0,0,"bad"
"2156529",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2824538",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4380694",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2182347",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2482797",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3408878",0,42,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"2211359",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1441581",0,0,0,0,0,0,0,0,1,227,1,0,1,0.87,"good"
"1678859",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2489417",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2230563",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3954489",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"957466",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1996744",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"696138",0,0,0,0,0,0,1,1,0,16,0.06,1,0,0,"bad"
"3003198",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"494017",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4169486",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1082748",0,0,0,0,0,0,1,1,0,8,0.03,1,0,0,"bad"
"4418261",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4821278",0,157,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"147132",0,200,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"108434",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2427289",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4035872",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1851764",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1871241",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1461014",0,1,0,0,0,0,0,0,0,2,0.01,0,0.18,0,"bad"
"3187796",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4380146",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3278611",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4350086",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3688028",0,0,0,0,0,0,1,1,0,9,0.04,1,0,0,"bad"
"3630207",0,0,0,0,0,0,1,1,0,11,0.04,1,0,0,"bad"
"237042",0,311,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"2173245",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2918064",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2746564",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2571495",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"471135",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1977163",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4825941",0,216,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"1502928",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"704841",0,0,0,0,0,0,1,1,0,15,0.06,1,0,0,"bad"
"127106",0,331,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"1436417",4785,147,0,0,0,0,0,0,0,1,0,0,0,0,"good"
"4836805",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4627107",0,0,0,0,0,0,0,0,1,13,0.05,0,1,1,"bad"
"1087111",0,0,0,0,0,0,1,1,0,13,0.05,1,0,0,"bad"
"2190282",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3446050",0,146,0,0,0,0,0,0,0,1,0,0,0,0,"good"
"275771",0,236,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"2271801",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3421898",0,59,0,0,0,0,0,0,0,62,0.17,0,0,0,"good"
"1810564",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1859941",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"719018",0,0,0,0,0,0,1,1,0,15,0.06,1,0,0,"bad"
"4524935",0,105,0,0,0,0,0,0,0,240,0.94,0,0,0,"good"
"3813093",0,0,0,0,0,0,1,1,0,11,0.04,1,0,0,"bad"
"2319197",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1057328",0,42,0,0,0,0,0,0,0,230,0.9,0,0,0,"good"
"3814112",0,0,0,0,0,0,1,1,0,8,0.03,1,0,0,"bad"
"1550047",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"161883",0,336,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"1069401",0,0,0,0,0,0,1,1,0,19,0.07,1,0,0,"bad"
"3147781",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3867137",0,0,0,0,0,0,1,1,0,9,0.04,1,0,0,"bad"
"1964176",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2850365",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4627746",0,0,0,0,0,0,0,0,1,7,0.03,0,1,1,"bad"
"3560695",0,0,0,0,0,0,1,1,0,16,0.06,1,0,0,"bad"
"4767698",0,105,0,0,0,0,0,0,0,239,0.94,0,0,0,"good"
"2188590",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2243457",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"927130",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3856455",0,0,0,0,0,0,1,1,0,25,0.1,1,0,0,"bad"
"4144278",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4381196",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4054449",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4688009",0,0,0,0,0,0,0,0,1,3,0.01,0,1,1,"bad"
"1118672",0,0,0,0,0,0,1,1,0,18,0.07,1,0,0,"bad"
"3293940",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4338791",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3441338",10,105,0,0,0,0,0,0,0,230,0.9,0,0,0,"good"
"3773812",0,0,0,0,0,0,1,1,0,12,0.05,1,0,0,"bad"
"2544426",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1409370",0,321,0,0,0,0,0,0,0,255,1,0,0.35,0.92,"good"
"490724",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2173022",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2912334",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3335672",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3301145",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3641228",0,0,0,0,0,0,1,1,0,5,0.02,1,0,0,"bad"
"2246757",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2824270",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2970102",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2467617",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4726134",0,0,0,0,0,0,0,0,1,4,0.02,0,1,1,"bad"
"2986723",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2311990",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3235282",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2975871",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3029184",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3769394",0,0,0,0,0,0,1,1,0,1,0,1,0,0,"bad"
"4376557",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3428100",0,0,0,0,0,0,0,0,1,255,1,0,1,1,"good"
"1747795",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1279685",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4190544",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3836380",0,0,0,0,0,0,1,1,0,5,0.02,1,0,0,"bad"
"4190525",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3586261",0,0,0,0,0,0,1,1,0,9,0.04,1,0,0,"bad"
"2499383",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4530282",0,183,0,0,0,0,0,0,0,19,0.07,0,0,0,"good"
"2467422",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4621091",0,0,0,0,0,0,0,0,1,2,0.01,0,1,1,"bad"
"2076194",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2269181",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2970940",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3467966",0,0,0,0,0,0,1,1,0,3,0.01,1,0,0,"bad"
"1048210",0,339,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"3936842",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1333838",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2832702",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2837232",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"402454",0,0,0,0,0,0,0,0,1,255,1,0,1,0.98,"good"
"566717",0,0,0,0,0,0,1,1,0,5,0.02,1,0,0,"bad"
"4382936",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1711259",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4470808",0,145,0,0,0,0,0,0,0,1,0,0,0,0,"good"
"3666139",4,11338,0,0,0,0,0,0,0,154,0.94,0.03,0,0.01,"good"
"181240",0,300,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"4834009",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"661572",0,0,0,0,0,0,1,1,0,13,0.05,1,0,0,"bad"
"376818",0,298,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"3004053",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2445606",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"448949",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"720534",0,0,0,0,0,0,1,1,0,12,0.05,1,0,0,"bad"
"4112523",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2154203",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4102359",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1890627",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4090782",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2054239",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2797462",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4208249",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4751704",0,0,0,0,0,0,0,0,1,18,0.07,0,1,1,"bad"
"2466179",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2187933",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"69075",0,216,0,0,0,0,0,0,0,107,1,0,0,0,"good"
"1599965",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4616440",0,0,0,0,0,0,0,0,1,15,0.06,0,1,1,"bad"
"1993071",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4177833",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4777109",2267,147,0,0,0,0,0,0,0,3,0.01,0,0,0,"good"
"77431",1,1403,0,0,0,0,0,0,0,238,0.98,0,0,0,"good"
"408489",3,729,0,0,0,0,0,0,0,157,0.35,0,0,0,"good"
"3130812",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"646950",0,0,0,0,0,0,1,1,0,7,0.03,1,0,0,"bad"
"3931838",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1814511",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"960249",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3351081",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1411259",0,0,0,0,0,0,0,0,1,251,1,0,1,0.47,"good"
"2806021",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3826053",0,0,0,0,0,0,1,1,0,22,0.09,1,0,0,"bad"
"3656182",0,0,0,0,0,0,1,1,0,4,0.02,1,0,0,"bad"
"3546775",0,0,0,0,0,0,1,1,0,12,0.05,1,0,0,"bad"
"2771853",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2795647",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2431673",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3253529",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"3754863",0,0,0,0,0,0,1,1,0,5,0.02,1,0,0,"bad"
"785651",0,284,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"2119009",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1339775",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1670318",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1567553",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"2084348",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1030442",0,326,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"4774544",0,105,0,0,0,0,0,0,0,235,0.92,0,0,0,"good"
"1791981",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"4396589",0,520,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"89002",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"21486",0,286,0,0,0,0,0,0,0,255,1,0,0,0,"good"
"2430271",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
"1723876",0,1032,0,0,0,0,0,0,0,255,1,0,0,0,"bad"
